iso3,year,population,scenario
PRT,2050,11624331.430309953,SSP1
PRT,2055,11667645.049628781,SSP1
PRT,2060,11686723.803364547,SSP1
PRT,2065,11664588.15501213,SSP1
PRT,2070,11590736.404360335,SSP1
PRT,2075,11442876.00888373,SSP1
PRT,2080,11241610.814601397,SSP1
PRT,2085,11009649.137941461,SSP1
PRT,2090,10734535.012363149,SSP1
PRT,2095,10423877.995024223,SSP1
PRT,2100,10086533.887875024,SSP1
PRY,2010,6454548.000000001,SSP1
PRY,2015,6930056.221555446,SSP1
PRY,2020,7351472.730369668,SSP1
PRY,2025,7714489.881174132,SSP1
PRY,2030,8011341.575630285,SSP1
PRY,2035,8258153.306212884,SSP1
PRY,2040,8447567.420823554,SSP1
PRY,2045,8577372.334107785,SSP1
PRY,2050,8650040.963363515,SSP1
PRY,2055,8674236.810121672,SSP1
PRY,2060,8652844.397147045,SSP1
PRY,2065,8592385.421758803,SSP1
PRY,2070,8493438.35384612,SSP1
PRY,2075,8354492.022469983,SSP1
PRY,2080,8175214.090990034,SSP1
PRY,2085,7958612.389376725,SSP1
PRY,2090,7710110.768457773,SSP1
PRY,2095,7435429.966682596,SSP1
PRY,2100,7118078.476284569,SSP1
PSE,2010,4039192,SSP1
PSE,2015,4434164.708627191,SSP1
PSE,2020,4744195.145639574,SSP1
PSE,2025,4962355.391461804,SSP1
PSE,2030,5093219.22352219,SSP1
PSE,2035,5158715.661209559,SSP1
PSE,2040,5169122.80254953,SSP1
PSE,2045,5130071.59776268,SSP1
PSE,2050,5049361.272530255,SSP1
PSE,2055,4938754.187259717,SSP1
PSE,2060,4800339.38277838,SSP1
PSE,2065,4663764.515893165,SSP1
PSE,2070,4531136.083330996,SSP1
PSE,2075,4402811.540964249,SSP1
PSE,2080,4278337.236208071,SSP1
PSE,2085,4157984.7882251297,SSP1
PSE,2090,4041973.641442608,SSP1
PSE,2095,3924542.4272470004,SSP1
PSE,2100,3801258.1756286747,SSP1
PYF,2010,270764,SSP1
PYF,2015,284842.40186042385,SSP1
PYF,2020,297487.5476677014,SSP1
PYF,2025,308010.4793442149,SSP1
PYF,2030,315977.5096077577,SSP1
PYF,2035,322111.86871603644,SSP1
PYF,2040,326469.75794768793,SSP1
PYF,2045,328939.9346067871,SSP1
PYF,2050,329361.3233754935,SSP1
PYF,2055,327981.588448462,SSP1
PYF,2060,325025.9390549508,SSP1
PYF,2065,320799.45135914464,SSP1
PYF,2070,315513.9138019591,SSP1
PYF,2075,309242.0072474721,SSP1
PYF,2080,301991.49516443384,SSP1
PYF,2085,293796.18515742884,SSP1
PYF,2090,284336.2093503399,SSP1
PYF,2095,273466.01406614395,SSP1
PYF,2100,261695.87853217547,SSP1
QAT,2010,1758793.0002989839,SSP1
QAT,2015,2299543.742479074,SSP1
QAT,2020,2540789.9711459284,SSP1
QAT,2025,2766553.9686767817,SSP1
QAT,2030,2977169.5602508867,SSP1
QAT,2035,3174743.6446589767,SSP1
QAT,2040,3343815.392555539,SSP1
QAT,2045,3474789.9324082667,SSP1
QAT,2050,3562998.651653772,SSP1
QAT,2055,3611057.951739802,SSP1
QAT,2060,3625118.7693370148,SSP1
QAT,2065,3602352.790259586,SSP1
QAT,2070,3540071.168063672,SSP1
QAT,2075,3442104.8032771065,SSP1
QAT,2080,3318291.7426182027,SSP1
QAT,2085,3178433.2637098315,SSP1
QAT,2090,3013240.498755886,SSP1
QAT,2095,2832411.078101992,SSP1
QAT,2100,2642718.1687080907,SSP1
REU,2010,846068.000006938,SSP1
REU,2015,891320.6061650732,SSP1
REU,2020,930930.4882218456,SSP1
REU,2025,965000.6564440277,SSP1
REU,2030,993237.6410525118,SSP1
REU,2035,1017695.7917434381,SSP1
REU,2040,1037537.8345971822,SSP1
REU,2045,1051926.6896916714,SSP1
REU,2050,1060274.3580146076,SSP1
REU,2055,1063381.4570817074,SSP1
REU,2060,1061796.3044618438,SSP1
REU,2065,1056392.8661138124,SSP1
REU,2070,1048041.4867071697,SSP1
REU,2075,1035716.0564898618,SSP1
REU,2080,1017949.3670462265,SSP1
REU,2085,995074.8435324212,SSP1
REU,2090,967888.0841923679,SSP1
REU,2095,936388.5184475564,SSP1
REU,2100,900105.6308946077,SSP1
ROU,2010,21486371.000000004,SSP1
ROU,2015,21120938.701200552,SSP1
ROU,2020,20704840.76841373,SSP1
ROU,2025,20235053.878501907,SSP1
ROU,2030,19716648.316306148,SSP1
ROU,2035,19186788.505026065,SSP1
ROU,2040,18626637.89349668,SSP1
ROU,2045,18007941.831881404,SSP1
ROU,2050,17316982.581901014,SSP1
ROU,2055,16563702.545455068,SSP1
ROU,2060,15757743.348455152,SSP1
ROU,2065,14908519.411620779,SSP1
ROU,2070,14031610.654678607,SSP1
ROU,2075,13146837.6818711,SSP1
ROU,2080,12278019.073058782,SSP1
ROU,2085,11441541.358175747,SSP1
ROU,2090,10597182.335784895,SSP1
ROU,2095,9781553.645462977,SSP1
ROU,2100,9009005.579837812,SSP1
RUS,2010,142958163.99999994,SSP1
RUS,2015,142359507.29370347,SSP1
RUS,2020,141242600.05213004,SSP1
